nome,categoria,cidade,morada,telefone,rating,avaliacoes,tem_website,website_url
Eliana Vieira Hairstylist,Cabeleireiro-Braga,4705-094 Braga,"R. Dr. José Vilaça n 88 Loja 2, 4705-094 Braga, Portugal",932 677 258,5,16,nao,
Paula Gonçalves Hair Designer,Cabeleireiro-Braga,4700-037 Braga,"R. Pêro Magalhães Gondavo 155, 4700-037 Braga, Portugal",914 895 333,5,36,nao,
UNIQUE Pro Studio,Cabeleireiro-Braga,4710-251 Braga,"Av. Central 138, 4710-251 Braga, Portugal",253 295 356,4.8,56,nao,
"Studio Jaqueline Dias – Cabeleireira, Beleza e Saúde (Braga)",Cabeleireiro-Braga,4700-912 Braga,"Centro comercial dos Granjinhos, R. 25 de Abril 480 SL 476A, 4700-912 Braga, Portugal",963 201 652,5,58,nao,
Chrisbell,Cabeleireiro-Braga,4705 Braga,"R. Rosália Castro 15, 4705 Braga, Portugal",961 144 114,4.8,62,nao,
Thiara Paganini Beauty Studio,Cabeleireiro-Braga,4715-030 Braga,"R. Américo Ferreira Carvalho 106, 4715-030 Braga, Portugal",915 578 567,5,82,nao,
Joaquim Orlando,Cabeleireiro-Braga,4710-413 Braga,"R. Nova de Santa Cruz, 4710-413 Braga, Portugal",918 046 893,4.9,89,nao,
Patrícia Rodrigues Cabeleireiros | Terapia Capilar Braga,Cabeleireiro-Braga,4710-306 Braga,"R. de Santa Margarida n.164, 4710-306 Braga, Portugal",969 542 359,4.9,93,nao,
HaircOre,Cabeleireiro-Braga,4700-326 Braga,"Largo de São João do Souto 14/15, 4700-326 Braga, Portugal",932 342 673,5,96,nao,
Hair Clinic,Cabeleireiro-Braga,4700-330 Braga,"Av. Visc. de Nespereira 39, 4700-330 Braga, Portugal",253 296 368,4.5,110,nao,
the LOFT,Cabeleireiro-Lisboa,1050-214 Lisboa,"Av. Sidónio Pais 4 loja 1, 1050-214 Lisboa, Portugal",919 090 060,4.9,112,nao,
FIERO HAIR ®,Cabeleireiro-Lisboa,1200-381 Lisboa,"R. da Rosa 14G, 1200-381 Lisboa, Portugal",924 168 125,4.9,190,nao,
Sophia Hair Style,Cabeleireiro-Coimbra,3030-177 Coimbra,"R. Carlos Seixas 123, 3030-177 Coimbra, Portugal",918 547 696,4.9,22,nao,
Manuela Simões,Cabeleireiro-Coimbra,3030-179 Coimbra,"Rua Engenheiro, R. Eng. Jorge Anjinho Lote 14 Loja 3, Fonte da Cheira, 3030-179 Coimbra, Portugal",239 705 451,4.9,28,nao,
Ginali Cabeleireiro,Cabeleireiro-Coimbra,3030-333 Coimbra,"R. Miguel Torga, 3030-333 Coimbra, Portugal",239 406 573,4.9,30,nao,
Livreesolto,Cabeleireiro-Coimbra,3030-181 Coimbra,"R. Combatentes da Grande Guerra 88, 3030-181 Coimbra, Portugal",239 084 084,4.9,35,nao,
Cabeleireiro Paula Simões,Cabeleireiro-Coimbra,3030-193 Coimbra,"R. Paulo Quintela 196, 3030-193 Coimbra, Portugal",239 716 898,4.8,45,nao,
Perla Cabeleireiros,Cabeleireiro-Coimbra,Rua Luís A Duarte dos Santos Urbanização Adriano lucas - Coimbra,"Rua Luís A Duarte dos Santos Urbanização Adriano lucas - Coimbra, vizinho caixa Geral de depósitos, R. Vale das Flores 4 loja 3, 3030-218 Coimbra, Portugal",239 404 875,4.9,51,nao,
"Essência do fio, cabeleireiro, Lda",Cabeleireiro-Coimbra,3030-490 Coimbra,"R. Raul Ferrão N° 15, 3030-490 Coimbra, Portugal",965 818 324,5,71,nao,
Guilherme Lucas Cabeleireiros,Cabeleireiro-Coimbra,3000-072 Coimbra,"R. Bernardo de Albuquerque 69, Celas, 3000-072 Coimbra, Portugal",918 383 952,4.8,83,nao,
"Fusion | Barbearia, salão de cabeleireira e estética",Cabeleireiro-Coimbra,3000-033 Coimbra,"R. Antero de Quental 263 piso 5, loja 508, 3000-033 Coimbra, Portugal",915 189 255,5,166,nao,
Luxus Hairstylist,Cabeleireiro-Aveiro,3800-008 Aveiro,"R. de Angola N° 42 loja F, 3800-008 Aveiro, Portugal",925 658 379,5,21,nao,
Cabeleireiro Alexandre - Cabeleireiro de Homens e Senhoras,Cabeleireiro-Aveiro,3800-137 Aveiro,"R. Conselheiro Luís de Magalhães 46 R/C, 3800-137 Aveiro, Portugal",234 429 224,4.9,32,nao,
"""Cais da Beleza""",Cabeleireiro-Aveiro,3800-365 Aveiro,"Av. dos Congressos da Oposição Democrática n°59, 3800-365 Aveiro, Portugal",234 056 701,4.7,47,nao,
Urban Studio Cabeleireiros Centro de Estética,Cabeleireiro-Aveiro,3800-011 Aveiro,"Forca Vouga, R. Cerâmica do Vouga B3 Loja 4, 3800-011 Aveiro, Portugal",234 421 799,4.8,194,nao,
Maximus Hair Club,Cabeleireiro-Aveiro,3800-159 Aveiro,"Av. Dr. Lourenço Peixinho 10 Cave - Loja 9, 3800-159 Aveiro, Portugal",938 771 775,5,483,nao,
Almar Styling Cabeleireiros,Cabeleireiro-Guimaraes,4810-225 Guimarães,"R. Almeida Garrett 32, 4810-225 Guimarães, Portugal",911 919 126,4.8,11,nao,
Medeiros Studio Hair,Cabeleireiro-Guimaraes,4800-153 Guimarães,"R. Dr. Avelino Germano 14 16, 4800-153 Guimarães, Portugal",934 275 533,5,21,nao,
Pedro Roque Cabeleireiro (antigo Studio Look K),Cabeleireiro-Guimaraes,4800-431 Guimarães,"R. Rainha Dona Maria II 89, 4800-431 Guimarães, Portugal",919 868 325,5,28,nao,
Isabel Moura Cabeleireiro,Cabeleireiro-Guimaraes,4835-105 Guimarães,"Av. São Gonçalo 1558 R/C, 4835-105 Guimarães, Portugal",253 410 941,5,50,nao,
"Sameiro Martins unipessoal,Lda",Cabeleireiro-Guimaraes,4800-040 Guimarães,"R. Ferreira de Castro 709D, 4800-040 Guimarães, Portugal",963 803 910,4.9,63,nao,
"Salão Monaco - Cabeleireiros, Lda.",Cabeleireiro-Guimaraes,4810-445 Guimarães,"R. de Santo António 7, 4810-445 Guimarães, Portugal",253 516 753,4.7,76,nao,
António Cabeleireiros,Cabeleireiro-Guimaraes,4810-438 Guimarães,"Largo da República do Brasil 358, 4810-438 Guimarães, Portugal",253 412 120,4.5,77,nao,
Romy Cabeleireiro,Cabeleireiro-Guimaraes,4800-176 Guimarães,"R. Fernando Pessoa 88, 4800-176 Guimarães, Portugal",253 556 195,4.9,81,nao,
Cabeleireiro Elegante,Cabeleireiro-Guimaraes,4810-286 Guimarães,"Av. Dom Afonso Henriques 226, 4810-286 Guimarães, Portugal",913 105 077,4.8,84,nao,
Nuance Cabeleireiros,Cabeleireiro-Guimaraes,4810-525 Guimarães,"Av. São Gonçalo 101, 4810-525 Guimarães, Portugal",253 546 208,4.7,105,nao,
Bella Torres Specialist,Cabeleireiro-Setubal,Av. Luísa Todi 434,"Av. Luísa Todi 434, 2900-455 Setúbal, Portugal",931 427 354,5,10,nao,
Beauty & Hair Studio,Cabeleireiro-Setubal,R. Camilo Castelo Branco 9c,"R. Camilo Castelo Branco 9c, 2910-449 Setúbal, Portugal",265 114 051,4.9,19,nao,
Dimensão Charme,Cabeleireiro-Setubal,R. António José Baptista 43A,"R. António José Baptista 43A, 2910-397 Setúbal, Portugal",265 428 387,4.7,23,nao,
PinkBlack Studio - Ana Lisboa,Cabeleireiro-Setubal,Avenida dos Combatentes em,"Avenida dos Combatentes em, Domino’s pizza, frente a, 2900-277 Setúbal, Portugal",924 136 477,4.9,32,nao,
Eli Lima Beauty,Cabeleireiro-Setubal,R. do Romeu 28,"R. do Romeu 28, 2900-276 Setúbal, Portugal",926 090 828,5,33,nao,
Ana Paula Hair,Cabeleireiro-Setubal,Quinta Do Mirante,"Quinta Do Mirante, Praceta Jaime Horácio Pacheco Junqueiro 4, 2900-700 Setúbal, Portugal",930 449 915,4.9,36,nao,
Andreia Gama - Hair Studio,Cabeleireiro-Setubal,Av. dos Ciprestes 141 A,"Av. dos Ciprestes 141 A, 2900-322 Setúbal, Portugal",965 770 853,5,59,nao,
Romana Hair,Cabeleireiro-Setubal,R. Álvaro Perdigão 3b,"R. Álvaro Perdigão 3b, 2900-163 Setúbal, Portugal",265 228 288,4.6,60,nao,
Solange Fonseca Cabeleireiro,Cabeleireiro-Setubal,Praceta Afonso de Paiva 13 loja 6,"Praceta Afonso de Paiva 13 loja 6, 2910-705 Setúbal, Portugal",937 183 990,4.9,90,nao,
Safira cabeleireiro e estética,Cabeleireiro-Setubal,R. Mormugão nr29,"R. Mormugão nr29, 2900-506 Setúbal, Portugal",922 018 771,5,92,nao,
Instituto Beleza Dias,Cabeleireiro-Setubal,R. Olavo Bilac 15,"R. Olavo Bilac 15, 2900-518 Setúbal, Portugal",265 227 028,4.8,94,nao,
Cláudia Palma Hairstylist,Cabeleireiro-Setubal,Avenida Descobertas Lote 30 1andar Loja2,"Avenida Descobertas Lote 30 1andar Loja2, 2910-771 Setúbal, Portugal",910 161 496,4.8,94,nao,
Susana Marques Cabeleireiro,Cabeleireiro-Setubal,R. António Maria Eusébio 97,"R. António Maria Eusébio 97, 2900-236 Setúbal, Portugal",265 106 643,4.9,107,nao,
Cabeleireira Marcela Carvalho,Cabeleireiro-Viseu,3510-060 Viseu,"R. Miguel Bombarda 5, 3510-060 Viseu, Portugal",919 084 601,5,8,nao,
Amore Beauty,Cabeleireiro-Viseu,3510-100 Viseu,"R. Pte. de Pau 21, 3510-100 Viseu, Portugal",961 904 099,5,10,nao,
Beauty Hair,Cabeleireiro-Viseu,3500-034 Viseu,"Bairro de Santa Eugénia Lote D R/C Direito, 3500-034 Viseu, Portugal",928 071 185,5,16,nao,
