nome,categoria,cidade,morada,telefone,rating,avaliacoes,tem_website,website_url
MiguelAutoSpa,Oficina Mecanica,4450-002 Matosinhos,"R. Afonso Cordeiro 266, 4450-002 Matosinhos, Portugal",,,0,nao,
Mécanico Auto,Oficina Mecanica,4450-224 Matosinhos,"R. Comendador Camacho Teixeira 53, 4450-224 Matosinhos, Portugal",915 191 657,5,2,nao,
Porto Car - Oficina Automóvel,Oficina Mecanica,4300-277 Porto,"R. de Justino Teixeira 305 Armazém 1, 4300-277 Porto, Portugal",22 536 2456,5,4,nao,
LMP- Car Service Unip.Lda,Oficina Mecanica,4050-563 Porto,"R. de São Paulo N-1, 4050-563 Porto, Portugal",911 029 203,5,5,nao,
"Mecanicauto - Reparações De Automoveis, Lda.",Oficina Mecanica,4450-149 Matosinhos,"R. Roberto Ivens 492, 4450-149 Matosinhos, Portugal",22 938 0288,5,5,nao,
Oficina De Reparações Auto Lobo Lda,Oficina Mecanica,4250-364 Porto,"R. de Pedro Hispano 874, 4250-364 Porto, Portugal",22 831 8620,4.4,9,nao,
Auto Mecanica Brasil,Oficina Mecanica,4470-147 Maia,"R. Augusto Simões 586, 4470-147 Maia, Portugal",963 011 320,5,9,nao,
Oficina Luis Barbosa,Oficina Mecanica,4430-999 Vila Nova de Gaia,"R. do Gen. Torres 1171, 4430-999 Vila Nova de Gaia, Portugal",917 042 557,4.7,11,nao,
"Oficina Automóvel, LCR Auto",Oficina Mecanica,4300-427 Porto,"R. do Padre António Vieira 164, 4300-427 Porto, Portugal",912 168 844,4.7,12,nao,
"Auto Abílio Azevedo - Reparações Automovéis, Lda",Oficina Mecanica,4250-254 Porto,"R. do Padre José Pacheco do Monte 276, 4250-254 Porto, Portugal",22 832 5095,4.9,14,nao,
"Fersilauto-Reparações Automoveis, Lda.",Oficina Mecanica,4000-248 Porto,"R. das Musas 339, 4000-248 Porto, Portugal",22 332 1077,4.7,14,nao,
Pedro Mota Reparações de Automóveis,Oficina Mecanica,4450-089 Matosinhos,"R. Comendador Camacho Teixeira n°53, 4450-089 Matosinhos, Portugal",22 935 0306,4.7,14,nao,
Park&Wash Constituição- Car Service,Oficina Mecanica,4250-172 Porto,"R. da Constituição 2345, 4250-172 Porto, Portugal",935 977 304,5,16,nao,
Smart em Gaia,Oficina Mecanica,4400-140 Vila Nova de Gaia,"R. Felizardo de Lima, 4400-140 Vila Nova de Gaia, Portugal",,4.6,24,nao,
Auto Circunvalação,Oficina Mecanica,4460-280 Porto,"Estr. da Circunvalação 10964, 4460-280 Porto, Portugal",22 832 7886,4.9,25,nao,
Arnaldo Conceição Lemos Costa,Oficina Mecanica,4450-163 Matosinhos,"R. Dom João i 488, 4450-163 Matosinhos, Portugal",919 014 965,4.8,25,nao,
Auto Reparadora das Devesas De Manuel Raul Pires Lda,Oficina Mecanica,4400 Vila Nova de Gaia,"R. do Conselheiro Veloso da Cruz 165, 4400 Vila Nova de Gaia, Portugal",22 379 8828,4.4,27,nao,
Icaro Auto Center,Oficina Mecanica,4000-022 Porto,"R. Aires de Ornelas 289, 4000-022 Porto, Portugal",939 234 248,4.5,31,nao,
Auto Mecânica Portuense,Oficina Mecanica,4000-108 Porto,"Rua do Visconde de Bóbeda N82, 4000-108 Porto, Portugal",22 537 9748,4.6,33,nao,
"Fernando José Jesus Costa, Unipessoal, Lda.",Oficina Mecanica,4300-170 Porto,"R. das Escolas 323 329, 4300-170 Porto, Portugal",22 536 5996,4.7,34,nao,
Carlos Gonçalves Osteopata,Fisioterapeuta,4465-215 Porto,"R. Nova do Seixo 84, São Mamede de Infesta, 4465-215 Porto, Portugal",969 225 673,5,1,nao,
Brevemente Clínica De Fisiatria,Fisioterapeuta,4050-491 Porto,"R. de Nossa Sra. de Fátima 274, 4050-491 Porto, Portugal",22 831 1066,3.5,2,nao,
José Carlos Soares,Fisioterapeuta,4050-320 Porto,"Rua 34, 4050-320 Porto, Portugal",912 365 132,5,3,nao,
Anderson Fernandes Fisioterapeuta,Fisioterapeuta,4400-623 Vila Nova de Gaia,"R. Francisco Alexandre Ferreira, 4400-623 Vila Nova de Gaia, Portugal",916 417 023,5,4,nao,
Fisioterapia Clemente Arruela.,Fisioterapeuta,4400-281 Vila Nova de Gaia,"R. de Rei Ramiro 806, 4400-281 Vila Nova de Gaia, Portugal",925 996 983,5,5,nao,
Carracena Osteopata,Fisioterapeuta,4450-586 Matosinhos,"R. Alberto Laura Moreira Junior 62, 4450-586 Matosinhos, Portugal",910 523 984,5,6,nao,
Márcia Pinto - Fisioterapia Especializada,Fisioterapeuta,4430-228 Vila Nova de Gaia,"R. São Tomé e Príncipe nº 362, 4430-228 Vila Nova de Gaia, Portugal",916 424 489,5,6,nao,
Nuno Lobo Ribeiro - Fisioterapia Desportiva,Fisioterapeuta,4250-448 Porto,"Rua de Sarmento de Beires 84, 4250-448 Porto, Portugal",918 254 552,5,7,nao,
Cuidar.Porto,Fisioterapeuta,4100-289 Porto,"R. Joaquim Leitão 285 E, 4100-289 Porto, Portugal",913 036 977,5,7,nao,
"Cfm - Clinica Fisiatrica De Matosinhos, Lda.",Fisioterapeuta,4450-023 Matosinhos,"Rua de Alfredo Cunha 267, 4450-023 Matosinhos, Portugal",22 937 5714,4,8,nao,
OsteoPorto,Fisioterapeuta,4000-248 Porto,"Rua de Camões 437 2º Piso, Porta 204, 4000-248 Porto, Portugal",918 505 553,4.9,9,nao,
"Elisa Petiz Fisioterapia, Pilates clínico & Move Flow",Fisioterapeuta,4050-318 Porto,"Rua de Júlio Dinis 242 3° andar - sala 308, 4050-318 Porto, Portugal",939 206 767,5,10,nao,
Essentia Curare – Fisioterapia e Estética,Fisioterapeuta,4450-289 Matosinhos,"R. Sousa Aroso 333, 4450-289 Matosinhos, Portugal",913 898 816,5,13,nao,
The Wizard,Fisioterapeuta,4450-685 Porto,"R. Gonçalves Zarco 1129 B, 4450-685 Porto, Portugal",931 615 063,5,19,nao,
Centro de Medicina Física e Reabilitação do Carvalhido Porto,Fisioterapeuta,4050-426 Porto,"R. de Nossa Sra. de Fátima 274, 4050-426 Porto, Portugal",22 831 1066,4.8,20,nao,
Physis - Clínica Fisiátrica,Fisioterapeuta,4050-481 Porto,"Rua da Piedade 85 1º andar, 4050-481 Porto, Portugal",22 600 3033,4.3,33,nao,
Clínica Fisiátrica das Antas,Fisioterapeuta,4200-154 Porto,"R. Carlos Malheiro Dias 329, 4200-154 Porto, Portugal",22 509 7359,4.3,34,nao,
Fisineme-Clinica de Fisiatria,Fisioterapeuta,4400-320 Vila Nova de Gaia,"R. Teixeira Lopes 192, 4400-320 Vila Nova de Gaia, Portugal",22 375 2327,3.8,36,nao,
Osteopatia no Porto | Leandro Teixeira,Fisioterapeuta,4400-053 Vila Nova de Gaia,"R. da Bélgica nr 2338B, 4400-053 Vila Nova de Gaia, Portugal",914 231 011,5,48,nao,
Fisioterapias,Fisioterapeuta,4100-009 Porto,"R. Arquitecto Cassiano Barbosa n.38C, 4100-009 Porto, Portugal",935 639 097,4.1,51,nao,
Tasca do Bêco,Restaurante Tasca,4100-158 Porto,"Beco Carreiras 66 loja 14, 4100-158 Porto, Portugal",915 088 600,5,6,nao,
Tasquinha das Artes,Restaurante Tasca,4050-381 Porto,"R. do Breiner 320, 4050-381 Porto, Portugal",963 349 124,4.5,25,nao,
EL Júnior Tasquinha Vinhos & Petiscos,Restaurante Tasca,4400-069 Vila Nova de Gaia,"R. Cândido dos Reis 88 86, 4400-069 Vila Nova de Gaia, Portugal",,5,28,nao,
O Porreiraço - Tasca,Restaurante Tasca,4430-053 Vila Nova de Gaia,"R. 14 Outubro 1129, 4430-053 Vila Nova de Gaia, Portugal",22 244 7938,5,32,nao,
Tasca do Paulo,Restaurante Tasca,4200-009 Porto,"R. Conde Aurora 6, 4200-009 Porto, Portugal",937 064 741,4.6,33,nao,
Tasca Do Zé,Restaurante Tasca,4250-372 Porto,"R. do Cap. Pombeiro 250, 4250-372 Porto, Portugal",22 015 0342,4.9,52,nao,
tasca a da maria,Restaurante Tasca,4150-145 Porto,"Praça do Bom Sucesso 74 90, 4150-145 Porto, Portugal",935 199 095,2.3,95,nao,
Tasca do Nuno,Restaurante Tasca,4000-220 Porto,"Rua de Fernandes Tomás 965, 4000-220 Porto, Portugal",913 993 450,4.5,132,nao,
Tasca do Gourmet,Restaurante Tasca,4400-124 Vila Nova de Gaia,"R. Dr. António Granjo 506, 4400-124 Vila Nova de Gaia, Portugal",927 450 381,5,172,nao,
Toca D'avenida,Restaurante Tasca,4050-275 Porto,"Av. da França 84, 4050-275 Porto, Portugal",22 408 4902,4.6,238,nao,
Restaurante Merendeiro,Restaurante Tasca,4430-999 Vila Nova de Gaia,"R. 1.º de Maio 160, 4430-999 Vila Nova de Gaia, Portugal",913 981 874,4.8,252,nao,
Tasquinha São João Novo,Restaurante Tasca,4400-555 Porto,"R. de São João Novo 56, 4400-555 Porto, Portugal",917 971 479,4.3,313,nao,
Restaurante Tasca 7 Vidas,Restaurante Tasca,4400-354 Vila Nova de Gaia,"R. Agostinho Albano 163, 4400-354 Vila Nova de Gaia, Portugal",914 370 324,4.6,316,nao,
Tasquinha d'Ouro,Restaurante Tasca,4150-425 Porto,"R. do Ouro 236, 4150-425 Porto, Portugal",22 610 0021,4.3,442,nao,
Dom Luís ( D. Luis ),Restaurante Tasca,4400-266 Vila Nova de Gaia,"Av. de Ramos Pinto 266, 4400-266 Vila Nova de Gaia, Portugal",22 375 1251,4.7,452,nao,
Adega da Paz,Restaurante Tasca,4430-999 Vila Nova de Gaia,"R. Luís de Camões 592, 4430-999 Vila Nova de Gaia, Portugal",22 371 0652,4.6,476,nao,
Zé da Serra,Restaurante Tasca,4430-133 Vila Nova de Gaia,"R. Luís de Camões 580, 4430-133 Vila Nova de Gaia, Portugal",22 379 6785,4.6,523,nao,
Tasquinha do Canto,Restaurante Tasca,4050-200 Porto,"Rua dos Caldeireiros 53, 4050-200 Porto, Portugal",911 911 388,4,594,nao,
Tasquinha Zé Povinho,Restaurante Tasca,4050-201 Porto,"R. de Clemente Meneres nº36, 4050-201 Porto, Portugal",22 093 9355,4.7,711,nao,
A Pedra Furada Tasca Porto,Restaurante Tasca,4400-603 Vila Nova de Gaia,"R. 27 de Fevereiro 17 19, 4400-603 Vila Nova de Gaia, Portugal",911 755 530,4.2,797,nao,
Centro Clínico e Terapêutico Dra Vera Costa,Psicologo Terapeuta,4050-276 Porto,"Av. da França 256 loja 39 sala B, 4050-276 Porto, Portugal",910 342 362,5,2,nao,
Psicóloga Clínica Paula Marinho Vieira,Psicologo Terapeuta,4050-461 Porto,"Rua da Paz 66, 4050-461 Porto, Portugal",919 061 417,5,4,nao,
