nome,categoria,cidade,morada,telefone,rating,avaliacoes,tem_website,website_url
"Clinicodente-Clinica Dentaria, Lda.",Clinica Dentaria,4470-308 Maia,"Av. D Manuel II 1928 3º E, 4470-308 Maia, Portugal",22 948 4030,3.5,8,nao,
Gondental-clínica De Medicina Dentária,Clinica Dentaria,4420-169 Gondomar,"Tv. Monte Crasto 62, 4420-169 Gondomar, Portugal",22 464 7908,3,2,nao,
"Clinica Medico-Dentaria 5 de Outubro, Lda",Clinica Dentaria,4100-175 Porto,"R. de 5 de Outubro 205, 4100-175 Porto, Portugal",22 600 3704,4.5,14,nao,
MOC Medical and Oral Center,Clinica Dentaria,4050-326 Porto,"Rua de Júlio Dinis 751, 4050-326 Porto, Portugal",22 244 6889,5,8,nao,
Clinica de Medicina Dentaria Luis Magalhães LM ART CLINIC,Clinica Dentaria,4050-237 Porto,"R. de Egas Moniz 331, 4050-237 Porto, Portugal",22 830 6948,5,5,nao,
AM Clinics - Clínica Médico Dentária,Clinica Dentaria,4400-209 Vila Nova de Gaia,"R. Machado dos Santos nº619 Loja1, 4400-209 Vila Nova de Gaia, Portugal",912 171 213,5,10,nao,
Clínica Medicina Dentária António Silva Cardoso,Clinica Dentaria,4430-039 Vila Nova de Gaia,"R. Camélias 63, 4430-039 Vila Nova de Gaia, Portugal",22 379 4207,4.8,18,nao,
Clinica dentária ORTO SIS,Clinica Dentaria,4430-999 Vila Nova de Gaia,"R. Teixeira Lopes 204 sala 1, 4430-999 Vila Nova de Gaia, Portugal",927 503 777,4.8,21,nao,
Clínica Médica Dentária - Dra. Bruna Freitas,Clinica Dentaria,4400-625 Vila Nova de Gaia,"R. Dom Henrique de Cernache 440, 4400-625 Vila Nova de Gaia, Portugal",22 096 5549,4.9,15,nao,
Clínica Médica Dentária Drª Elisabete da Fonseca,Clinica Dentaria,4400-017 Vila Nova de Gaia,"R. de Álvares Cabral 56 R/C Sala 8, 4400-017 Vila Nova de Gaia, Portugal",22 371 3182,5,2,nao,
Clínica Universitária de Medicina Dentária Matosinhos - CESPU,Clinica Dentaria,4450-152 Matosinhos,"Av. Dom Afonso Henriques 1462, 4450-152 Matosinhos, Portugal",22 241 3082,4.7,12,nao,
Clinica médica dentária D.João I,Clinica Dentaria,4450-162 Matosinhos,"R. Dom João i 214, 4450-162 Matosinhos, Portugal",934 044 226,5,14,nao,
Clinica Mirafoz,Clinica Dentaria,4450-290 Matosinhos,"R. Sousa Aroso 587, 4450-290 Matosinhos, Portugal",22 938 1000,5,20,nao,
Clinica Dentaria,Clinica Dentaria,4470-010 Maia,"R. Padre Américo 43, 4470-010 Maia, Portugal",939 603 414,5,1,nao,
Maiadonto Clínica Médica Dentária,Clinica Dentaria,4470-334 Maia,"Av. D Manuel II 2041 3 andar sala1, 4470-334 Maia, Portugal",961 955 299,5,1,nao,
SORRIMAIA,Clinica Dentaria,4470-116 Maia,"Tv. Sá e Melo 517, 4470-116 Maia, Portugal",22 948 5714,4.9,8,nao,
Clinica Ricardo Vicente,Clinica Dentaria,R. de Nossa Sra. da Maia 111 113,"R. de Nossa Sra. da Maia 111 113, 4470-204 Maia, Portugal",914 168 609,4.9,28,nao,
CLÍNICA DENTARIA FIlOMENA MOREIRA UNIP. LDA,Clinica Dentaria,4470-220 Maia,"R. do Viso 65 sala 6, 4470-220 Maia, Portugal",22 941 5990,4.7,23,nao,
Clínica Dentária,Clinica Dentaria,Porto,"4420-086 S. Cosme, Portugal",22 463 6311,5,3,nao,
Clínica Dentaria António Da Silva Cardoso - Gondomar,Clinica Dentaria,Porto,"R. Valado 35, 4510-680 Fânzeres, Portugal",22 463 6499,5,4,nao,
clinica dentaria mar azul,Clinica Dentaria,Porto,"R. do Bombeiro Voluntário 109, 4450-060 Sra. da Hora, Portugal",22 938 9702,4.1,35,nao,
CLINICA MÉDICA DENTÁRIA DR RUI LAVAREDAS,Clinica Dentaria,4050-191 Porto,"R. de Ceuta 53, 4050-191 Porto, Portugal",22 203 0325,4.6,140,nao,
Clinica S.joao,Clinica Dentaria,4400-046 Vila Nova de Gaia,"R. da Bélgica n° 1790, 4400-046 Vila Nova de Gaia, Portugal",911 960 745,4.8,69,nao,
Climatosinhos,Clinica Dentaria,4450-243 Matosinhos,"Av. da República 773, 4450-243 Matosinhos, Portugal",22 937 1456,4.6,65,nao,
Gabinete de Estética,Centro de Estetica,4100-137 Porto,"Av. da Boavista 3213E, 4100-137 Porto, Portugal",968 438 639,3.5,2,nao,
Quintessência by Glória Costa - Estética Avançada & Bem-Estar,Centro de Estetica,4050-012 Porto,"Rua de Júlio Dinis 728, 4050-012 Porto, Portugal",939 272 694,5,2,nao,
Prime Estética & Salão,Centro de Estetica,4100-175 Porto,"R. de 5 de Outubro 269, 4100-175 Porto, Portugal",936 386 438,5,12,nao,
Korpus de Beleza - Centro De Estética,Centro de Estetica,4050-107 Porto,"Tv. da Figueirôa 44, 4050-107 Porto, Portugal",930 488 094,5,15,nao,
Juliana Ribeiro - JR Estética,Centro de Estetica,4000-147 Porto,"R. de Fonseca Cardoso 41, 4000-147 Porto, Portugal",932 139 394,5,15,nao,
Dra.Alexandra Miranda Estética,Centro de Estetica,4100-065 Porto,"Praceta Eng. António de Almeida 70, 4100-065 Porto, Portugal",911 997 412,5,8,nao,
Paula Lopes - Centro de Estética,Centro de Estetica,4050-145 Porto,"R. Calouste Gulbenkian 137, 4050-145 Porto, Portugal",933 250 994,4.2,5,nao,
