nome,categoria,cidade,morada,telefone,rating,avaliacoes,tem_website,website_url
Diamond Cabeleireiros Unissexo,Cabeleireiro,Porto,"Rua de Camões 901, 4000-149 Porto, Portugal",912 201 460,4.7,29,nao,
Studio color - Cabeleireiro & Estética | Bom Sucesso,Cabeleireiro,Porto,"R. de Gonçalo Sampaio 403, 4050 Porto, Portugal",915 786 703,4.7,44,nao,
She.,Cabeleireiro,Porto,"R. de D Manuel II 81, 4040-345 Porto, Portugal",930 557 696,4.9,58,nao,
Salão Luiz,Cabeleireiro,Porto,"Rua dos Mártires da Liberdade 336, 4050-359 Porto, Portugal",915 984 861,4.8,67,nao,
HairPlay,Cabeleireiro,Porto,"Rua dos Mártires da Liberdade 65, 4050-361 Porto, Portugal",22 208 4407,5,88,nao,
ELEVEN HAIR STUDIO,Cabeleireiro,Porto,"Av. da Boavista 1277, 4100-130 Porto, Portugal",916 977 597,4.7,104,nao,
Hair Identity,Cabeleireiro,Porto,"R. de Miguel Bombarda 295 loja 1A, 4050-381 Porto, Portugal",934 528 072,4.8,145,nao,
D&M Style Cabeleireiros Unissexo LDA,Cabeleireiro,Vila Nova de Gaia,"R. Encosta do Sol 82 Loja 5, 4400-438 Vila Nova de Gaia, Portugal",22 018 1420,4.7,10,nao,
Rodrigo Araújo Cabeleireiros,Cabeleireiro,Vila Nova de Gaia,"Praceta Alferes Pereira 82, 4400-009 Vila Nova de Gaia, Portugal",922 103 532,5,11,nao,
beleza E Arte Cabeleireiro unisexo e Estética,Cabeleireiro,Vila Nova de Gaia,"Praceta Alferes Pereira n 60, 4400-009 Vila Nova de Gaia, Portugal",912 907 602,4.9,16,nao,
Fábia Oliveira Hairstylist,Cabeleireiro,Vila Nova de Gaia,"Alameda Dom Pedro V, 4430-999 Vila Nova de Gaia, Portugal",,5,19,nao,
Filipa Silva Hairstylist,Cabeleireiro,Vila Nova de Gaia,"R. Benjamim Pinto dos Santos 7, 4430-577 Vila Nova de Gaia, Portugal",915 622 059,4.7,20,nao,
Cristiane Almeida| Studio de beleza em gaia,Cabeleireiro,Vila Nova de Gaia,"Praceta Alferes Pereira 210, 4400-009 Vila Nova de Gaia, Portugal",928 022 056,5,23,nao,
"Mind, Hair & Beauty",Cabeleireiro,Vila Nova de Gaia,"R. Pádua Correia 56, 4400-238 Vila Nova de Gaia, Portugal",967 177 786,4.9,26,nao,
Spa e Estética SaraPais& Marisa,Cabeleireiro,Vila Nova de Gaia,"R. Pinto Aguiar 316, 4430-000 Vila Nova de Gaia, Portugal",917 655 096,4.8,28,nao,
Lau Studio,Cabeleireiro,Vila Nova de Gaia,"R. Caetano de Melo 229, 4430-269 Vila Nova de Gaia, Portugal",911 585 295,5,31,nao,
MQCabeleireiros,Cabeleireiro,Vila Nova de Gaia,"Av. da República 1115, 4430-192 Vila Nova de Gaia, Portugal",914 154 786,4.9,42,nao,
Cabeleireiro João Ribeiro,Cabeleireiro,Vila Nova de Gaia,"R. da Rasa, 4430-999 Vila Nova de Gaia, Portugal",961 900 219,4.9,42,nao,
Andreia Rocha Cabeleireiros,Cabeleireiro,Vila Nova de Gaia,"R. 14 Outubro 1141, 4430-053 Vila Nova de Gaia, Portugal",913 210 479,5,53,nao,
Beauty Box Cabeleireiros,Cabeleireiro,Vila Nova de Gaia,"R. Teixeira Lopes 181, 4400-320 Vila Nova de Gaia, Portugal",915 406 293,5,60,nao,
Inspirarte Hair Tailors,Cabeleireiro,Vila Nova de Gaia,"R. de Rei Ramiro 790, 4400-281 Vila Nova de Gaia, Portugal",309 759 579,4.6,74,nao,
Studio Flávia Brandão | Cabeleireira Brasileira em V.N. Gaia,Cabeleireiro,Vila Nova de Gaia,"Av. da República 2208, 4400-004 Vila Nova de Gaia, Portugal",936 108 875,4.9,76,nao,
Tendencias e Charme cabeleireiro e estética,Cabeleireiro,Vila Nova de Gaia,"R. Penedo 49, 4405-589 Vila Nova de Gaia, Portugal",916 865 233,4.7,84,nao,
Susana Tavares Hairstylist,Cabeleireiro,Vila Nova de Gaia,"R. 14 Outubro 1121, 4430-999 Vila Nova de Gaia, Portugal",22 242 6234,4.9,87,nao,
Paula Motta Studio,Cabeleireiro,Vila Nova de Gaia,"R. de Soares dos Reis 340, 4430-999 Vila Nova de Gaia, Portugal",938 856 927,5,91,nao,
Mãos de Tesoura,Cabeleireiro,Vila Nova de Gaia,"Tv. dos Escultores 71, 4400-139 Vila Nova de Gaia, Portugal",914 096 745,4.9,129,nao,
Américo Peixoto Cabeleireiros,Cabeleireiro,Vila Nova de Gaia,"R. Pádua Correia 287, 4400-238 Vila Nova de Gaia, Portugal",937 029 195,4.7,140,nao,
Paulo & Isabel Cabeleireiros,Cabeleireiro,Vila Nova de Gaia,"R. Francisco Pereira Pinto de Lemos 50, 4400-700 Vila Nova de Gaia, Portugal",22 011 4259,4.9,460,nao,
Espaço vip cabeleireiro Low cost,Cabeleireiro,Matosinhos,"R. Álvaro Castelões 528 loja 8, 4450-039 Matosinhos, Portugal",910 415 131,4.9,8,nao,
Patrícia Varela Hair&Make Up,Cabeleireiro,Matosinhos,"Rua de Alfredo Cunha 438, 4450-021 Matosinhos, Portugal",911 879 188,5,21,nao,
Sal Hair Design,Cabeleireiro,Matosinhos,"R. Brito e Cunha 24, 4450-085 Matosinhos, Portugal",22 938 2842,4.7,27,nao,
Giovanny Hair Stylist,Cabeleireiro,Matosinhos,"R. Godinho 243, 4450-149 Matosinhos, Portugal",,5,33,nao,
Prime Studio/Barber Porto,Cabeleireiro,Matosinhos,"Av. Dom Afonso Henriques 1070, 4450-031 Matosinhos, Portugal",936 505 310,4.6,41,nao,
MLSG Cabeleireiros - Matosinhos SUL,Cabeleireiro,Matosinhos,"Estr. da Circunvalação 15956, 4450-171 Matosinhos, Portugal",22 402 1986,4.4,48,nao,
Carlos Ferreira & Vanessa Salgado,Cabeleireiro,Matosinhos,"R. Ló Ferreira 97, 4450-026 Matosinhos, Portugal",22 937 7636,4.9,56,nao,
Renaissance HD Concept,Cabeleireiro,Matosinhos,"Rua de Brito Capelo 138, 4450-065 Matosinhos, Portugal",912 008 420,4.9,60,nao,
Studio de beleza ls,Cabeleireiro,Matosinhos,"Av. Dom Afonso Henriques 872 sala 27- 2°andar, 4450-010 Matosinhos, Portugal",916 188 357,5,65,nao,
Fatima ferreira Cabeleireiros,Cabeleireiro,Matosinhos,"R. Mouzinho de Albuquerque 407, 4450-206 Matosinhos, Portugal",918 722 967,4.9,78,nao,
Avenue Studio - Cabeleireiro,Cabeleireiro,Matosinhos,"Av. da República 848, 4450-240 Matosinhos, Portugal",918 265 445,4.8,79,nao,
Antoniu´s Cabeleireiros,Cabeleireiro,Matosinhos,"R. da Cruz de Pau 38, 4450-108 Matosinhos, Portugal",916 863 860,4.8,84,nao,
Elizabeth Carvalho Cabeleireiro - Matosinhos,Cabeleireiro,Matosinhos,"R. da Cruz de Pau 49, 4450-108 Matosinhos, Portugal",22 319 8144,5,86,nao,
Elegance Cabeleireiros,Cabeleireiro,Matosinhos,"Rua de Tomaz Ribeiro 648, 4450-295 Matosinhos, Portugal",22 938 7758,4.7,111,nao,
Lu Saccon Hairstyle,Cabeleireiro,Matosinhos,"Av. da República 181 blocoA ,loja 201, 4450-241 Matosinhos, Portugal",910 521 939,5,136,nao,
Glow Up Hair Studio,Cabeleireiro,Matosinhos,"Av. Comendador Ferreira de Matos 545, 4450-124 Matosinhos, Portugal",911 911 600,4.9,161,nao,
Luís Ferrero Hair Stylist,Cabeleireiro,Matosinhos,"Av. da República 250, 4450-237 Matosinhos, Portugal",22 935 1428,4.8,199,nao,
Cabeleireiro & Barbearia Unissex,Cabeleireiro,Maia,"R. Augusto Simões 726, 4470-148 Maia, Portugal",961 308 917,5,1,nao,
RS Hairstylist,Cabeleireiro,Maia,"R. Álvaro Aurélio do Céu Oliveira 18, 4470-134 Maia, Portugal",22 099 4548,5,2,nao,
Hair stylist,Cabeleireiro,Maia,"Rua de S. Romão 935, 4470-365 Maia, Portugal",,5,3,nao,
Silvia Nunes Cabeleireiros E Estética Unissexo,Cabeleireiro,Maia,"Praceta Eng. José Adriano Moreira dos Santos, 4470-087 Maia, Portugal",913 785 783,5,3,nao,
Carla Santos Cabeleireiros - Maia,Cabeleireiro,Maia,"Praceta Cavada 185, 4470-159 Maia, Portugal",964 047 801,5,16,nao,
